# BEAST v10.5.0
# Generated Thu Feb 12 23:51:34 GMT 2026 [seed=1770940276861]
# -window -working -options
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
112000	-427.4048384709766	-3.3283844984539446	-424.07645397252264	0.05396059780935116	-0.05396059780935116	0.12807390746618658	0.024529294259966253	31.766499337336136	31.766499337336136	-424.07645397252264	0.0	7.2791520237030465
113000	-425.9344253688416	-2.030502173858636	-423.90392319498295	0.039917474441013255	-0.039917474441013255	0.09792038425445884	0.010480704162745338	27.482404634378593	27.48240463437859	-423.90392319498295	0.0	6.411959572840875
114000	-427.9615848354263	-4.341429856290899	-423.6201549791354	0.14120679587285212	-0.14120679587285212	0.32236232710867607	0.08010968333189716	8.013137504558559	8.013137504558559	-423.6201549791354	0.0	4.812982061928508
115000	-425.5050963527036	-3.370700678755199	-422.1343956739484	0.06781613565752276	-0.06781613565752276	0.15265115240799842	0.020737755289429612	25.617682282910927	25.61768228291093	-422.1343956739484	0.0	6.715858270212948
116000	-423.6639513273449	-0.6921656253270587	-422.9717857020178	0.022955235286534106	-0.022955235286534106	0.05335479356211338	0.028713316686299662	49.945859631556615	49.945859631556615	-422.9717857020178	0.0	9.333187360676858
117000	-425.2381752285796	-2.19391740968962	-423.04425781889	0.06412137893719227	-0.06412137893719227	0.1520202728294603	0.028597309513765785	17.406893820753993	17.406893820753993	-423.04425781889	0.0	6.758179181783861
118000	-429.78541269631825	-7.218247240521853	-422.5671654557964	0.03847504063306821	-0.03847504063306821	0.08218315167569794	0.03490896908491154	99.72679972689569	99.72679972689569	-422.5671654557964	0.0	8.663065187578516
119000	-415.93188467433424	7.519694137571168	-423.4515788119054	0.0025377824187400567	-0.0025377824187400567	0.006087400039618921	0.0013331511237244208	408.8779145017519	408.87791450175195	-423.4515788119054	0.0	16.43903623663274
120000	-421.75320361834537	3.4259622255237847	-425.17916584386916	0.007612754472390278	-0.007612754472390278	0.016785583591504442	0.0066069264523284515	173.5798324009881	173.5798324009881	-425.17916584386916	0.0	13.433378373111386
121000	-412.034483691589	11.44978237309401	-423.484266064683	3.227491215849121E-4	-3.227491215849121E-4	7.407365035384604E-4	4.577501223451935E-4	3972.8926512708367	3972.892651270836	-423.484266064683	0.0	21.945160769588107
122000	-416.6902407098375	8.997216469923025	-425.68745717976054	0.0017138995570101269	-0.0017138995570101269	0.00394636504108942	9.4056717299798E-4	625.0971694418156	625.0971694418157	-425.68745717976054	0.0	17.97490588681376
123000	-425.1602316390498	-1.5883244454397545	-423.57190719361006	0.02831121925694389	-0.02831121925694389	0.06254864307991698	0.016755709372133918	72.37449075556287	72.37449075556286	-423.57190719361006	0.0	9.866975197329028
